# level, maxExp, mainStat increment, stat increment

0 ; 1, 10, 0, 0
1 ; 2, 20, 3, 5
2 ; 3, 30, 3, 5
3 ; 4, 40, 3, 5
4 ; 5, 50, 3, 5
5 ; 6, 60, 10, 5
6 ; 7, 70, 3, 5
7 ; 8, 80, 3, 5
8 ; 9, 90, 3, 5
9 ; 10, 100, 3, 5
10 ; 11, 110, 10, 5
11 ; 12, 120, 3, 5
12 ; 13, 130, 3, 5
13 ; 14, 140, 3, 5
14 ; 15, 150, 3, 5
15 ; 16, 160, 10, 5
16 ; 17, 170, 3, 5
17 ; 18, 180, 3, 5
18 ; 19, 190, 3, 5
19 ; 20, 200, 3, 5
20 ; 21, 210, 10, 5
21 ; 22, 220, 3, 5
22 ; 23, 230, 3, 5
23 ; 24, 240, 3, 5
24 ; 25, 250, 3, 5
25 ; 26, 260, 10, 5
26 ; 27, 270, 3, 5
27 ; 28, 280, 3, 5
28 ; 29, 290, 3, 5
29 ; 30, 300, 3, 5
30 ; 31, 310, 10, 5
